dataset,method,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RandomForest,0.2654135227203369,,0.1871191549678277,1.0,1.0,0.6540650677292273,0.6658036272670418,0.625
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,CatBoost,1.0097503662109375,,0.33410456738379063,0.9686478227654699,0.9008333333333334,0.5734058012955545,0.7730081300813008,0.695
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RILS-ROLS,2.0040628910064697,"(((-0.482791*MIN((0<x18), x19))+(0.304158*(0<(x18+x19))))+0.411306)",0.6546101271222491,0.6708104729495104,0.67,0.6747964185520047,0.650844277673546,0.6525
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RILS-ROLS-Pseudo-Generic,2.260132074356079,2.294962*sin(-4.653313379716*x16**2*x17**2 + x16 + 1.233025*x17) - 0.613678,0.6436033948375136,0.6983498854087089,0.6691666666666667,0.6303900440270516,0.7064915572232645,0.6725
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,HROCH,1.0139541625976562,sin((x16 + x17*(x17 + 0.1975192129611969))**2),0.6346942326560352,0.694432946732412,0.6666666666666666,0.6379951616941902,0.6904065040650407,0.6625
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,HROCH-Pseudo,1.9368946552276611,-tanh(-24.026400811249772*x16 + x17*(-x17 + (x12 + 36.56675878223453)*(24.026400811249772*x16 - x9 - sqrt(x7 + 0.03666604165832674))) + x9 + sqrt(x7 + 0.03666604165832674)),0.6274176786035567,0.6957274810750748,0.6691666666666667,0.6220498395240053,0.7020888055034396,0.6725
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,HROCH-Pseudo-Generic,1.0164101123809814,((0.5019192099571228-x19)/((x18+x2)-(0.6893107295036316+(x2-(((x6-(-0.17920969426631927))*((x8*(x6-(-0.17920969426631927)))*x13))*((x6-(-0.17920969426631927))*((x8*(x6-(-0.17920969426631927)))*x13))))))),0.6391851735673653,0.7126800472255018,0.6725,0.6804422486949104,0.6789493433395872,0.65
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,LogisticRegression,0.0421750545501709,,0.6865365191772346,0.5596221959858324,0.5458333333333333,0.7024854324603054,0.495134459036898,0.52
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,RandomForest,0.2299811840057373,,0.18636092451920452,1.0,1.0,0.6376139923333143,0.7034146341463416,0.6575
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,CatBoost,0.9500291347503662,,0.2911263698083619,0.9830571567469963,0.93,0.5736356633136012,0.7725078173858662,0.7275
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,RILS-ROLS,2.0092713832855225,"(((-0.617763*MIN((x8<x16), x17))+(0.427778*(0<(x16+x17))))+0.370937)",0.6236417428512082,0.729272866171262,0.7283333333333334,0.635592410808465,0.7200125078173859,0.7225
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,RILS-ROLS-Pseudo-Generic,2.154794931411743,0.81352*x19 - 1.93924*sqrt(x18*x19) + 0.900045*sin(x18) + 0.704831*sin(x2) - 0.670707,0.6853539886955836,0.5995694145426765,0.5741666666666667,0.6864443624366561,0.6044652908067542,0.59
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,HROCH,1.0109102725982666,(0.38046732544898987 - sqrt(x17))*(-x15 + 2*sqrt(x16) + x16 - 0.61682033482124264),0.5946590834074961,0.7616001111188277,0.7275,0.6169092164525383,0.7345590994371481,0.725
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,HROCH-Pseudo,1.8461802005767822,atan((-5*x16 - 3.427865732277073)*(-4*x16 - 2.742292585821658)*(x17 - 0.05611798601610768)/(0.98817973997483189 - x16)),0.5668629277863452,0.7638072088339468,0.7275,0.5778385933938565,0.7488180112570357,0.725
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,HROCH-Pseudo-Generic,1.0139541625976562,(0.233228862285614+((0.530282199382782+x16)/(((0.24805361032485962-2.1025612354278564)+((0.530282199382782+x16)+(0.530282199382782+x16)))*(0.530282199382782-x17)))),0.5905113938133785,0.763401625112855,0.7275,0.620740735700059,0.7409130706691682,0.725
Hill_Valley_with_noise,LogisticRegression,4.617314100265503,,0.049221766678489334,0.9998934831025468,0.9955995599559956,1.087085374653131,0.9623942064392286,0.9570957095709571
Hill_Valley_with_noise,RandomForest,1.0585978031158447,,0.18965510593065543,1.0,1.0,0.750876690995531,0.5617747142483205,0.5610561056105611
Hill_Valley_with_noise,CatBoost,6.867640972137451,,0.5376555579243824,0.9313934346857752,0.8492849284928493,0.7085124635047234,0.532763284181136,0.5247524752475248
Hill_Valley_with_noise,RILS-ROLS,2.057713031768799,((3.371139*((x46+x79)/(x94+x99)))+-2.889198),0.6505822041499908,0.7025806139246635,0.7029702970297029,0.6318803339629722,0.7177166041357648,0.7161716171617162
Hill_Valley_with_noise,RILS-ROLS-Pseudo-Generic,2.283310890197754,-49.087473 + 39.241941*(x22 + x34 + x55 + x73 + x87)/(x95 + x96 + x98 + x99),0.38605267818025574,0.9115038249249541,0.8415841584158416,0.3996327782930011,0.9045894773579967,0.8118811881188119
Hill_Valley_with_noise,HROCH,1.0160155296325684,12.77925365115132*(-x0 - x2 + x22 + x44 + x61 + x78 - x94 - x97)/x25,0.4363979954789741,0.8799990316645686,0.8063806380638063,0.46411962578836363,0.8769522729255737,0.7986798679867987
Hill_Valley_with_noise,HROCH-Pseudo,1.852832555770874,13.6995863888691*(-x1 + x14 + x29 + x49 + x79 - x96 - x98 - x99 - 0.013884783515829)/x7,0.3996125349691234,0.9012249443207127,0.823982398239824,0.41175483257325235,0.8983945554489138,0.8052805280528053
Hill_Valley_with_noise,HROCH-Pseudo-Generic,1.0105648040771484,((((x29-((x99-0.09486939758062363)-x49))-(-0.6205275654792786))-(((x96-x14)+(0.756512463092804+(x98-x79)))+x1))/(x7*0.09486939758062363)),0.4073547060438001,0.9010796940060037,0.823982398239824,0.41673663135545375,0.8993979582933427,0.8052805280528053
Hill_Valley_without_noise,LogisticRegression,0.5505669116973877,,0.04520077625816145,1.0,0.9988998899889989,0.1674828172052101,0.9975232198142414,0.9900990099009901
Hill_Valley_without_noise,RandomForest,0.9455547332763672,,0.1805428506197608,1.0,1.0,0.9913743480849984,0.5946483856700575,0.5907590759075908
Hill_Valley_without_noise,CatBoost,7.5650646686553955,,0.5471948943427598,0.8868293817279835,0.7843784378437844,0.7360586699868645,0.5160106147722247,0.504950495049505
Hill_Valley_without_noise,RILS-ROLS,2.0097157955169678,((0<(x0-x8))<0.500000),0.5084283819632001,1.0,1.0,0.48001010525600846,1.0,1.0
