dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
mofn_3_7_10,DecisionTree,0.0018558502197265,,57302,0.1309406419865473,0.9770212101461082,0.9136069114470844,0.2000417393374857,0.9364369501466276,0.8467336683417085
kr_vs_kp,DecisionTree,0.0041797161102294,,41729,0.0461727938111251,0.9984821352843936,0.9789897183728208,0.2382440797395641,0.9930267646287064,0.9718456725755996
parity5+5,DecisionTree,0.0016820430755615,,92067,0.399643880243353,0.8601256598762834,0.7468193384223919,0.4850298472158142,0.7772083685545224,0.6301775147928994
coil2000,DecisionTree,0.0715737342834472,,41729,0.1517288812784611,0.8843840802441365,0.945018181818182,0.8856111087356597,0.635996252271778,0.9212758737699356
kr_vs_kp,DecisionTree,0.0045018196105957,,33585,0.0303518117981839,0.9993903515104844,0.9856951274027717,0.0424467814537417,0.9988647237929534,0.9843587069864442
spambase,DecisionTree,0.0467298030853271,,66580,0.0828671143443202,0.9951249611580796,0.9608695652173912,1.280091001237172,0.9529188377638436,0.9174511223750904
flare,DecisionTree,0.0009877681732177,,57302,0.3769320323927504,0.7818504753236246,0.8404825737265416,0.5084296894383715,0.7372598162071847,0.81875
parity5+5,DecisionTree,0.0016531944274902,,57302,0.2898754550992472,0.9339927449552736,0.8307888040712468,0.4969806465415075,0.7976101700933915,0.6272189349112426
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.0027191638946533,,66580,0.5818300912345886,0.7557327856985692,0.6821428571428572,0.7072257516456879,0.6163028945494956,0.5645833333333333
Hill_Valley_without_noise,DecisionTree,0.1001572608947753,,57302,0.5384717866654345,0.8044878748936029,0.7334905660377359,0.8006039968964693,0.5670983908462398,0.5412087912087912
dis,DecisionTree,0.0057964324951171,,92067,0.0269763808421363,0.9924100073028036,0.9882575757575758,0.1176852376371125,0.8509447733354958,0.9876325088339224
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.114478588104248,,66580,0.4084352221415865,0.8858991488913903,0.7928571428571428,5.067766671962483,0.5227900192738448,0.5520833333333334
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.0025172233581542,,57302,0.6741604565207504,0.5766078626460533,0.5544642857142857,0.7331436217160515,0.4657891080855793,0.4875
phoneme,DecisionTree,0.0182685852050781,,66580,0.2000860497871119,0.9687441961245588,0.9061343204653622,1.0917013512845055,0.8998212969786292,0.8353884093711468
Hill_Valley_with_noise,DecisionTree,0.1848464012145996,,41729,0.5536410074115246,0.7719065498539841,0.6863207547169812,1.2361839499099725,0.5900733629200253,0.5796703296703297
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.0032742023468017,,57302,0.6196833489722066,0.7124470636256952,0.6571428571428571,0.7610366831704769,0.5230011808835787,0.5125
spambase,DecisionTree,0.0150403976440429,,41729,0.3182240373730091,0.9101875917378086,0.8922360248447205,0.3417329560078251,0.9086724208795725,0.8761766835626358
kr_vs_kp,DecisionTree,0.003657579421997,,66580,0.0820480293377366,0.9948361294260314,0.9646848457755924,0.0768741657758862,0.9950476314759232,0.9655891553701772
flare,DecisionTree,0.0013520717620849,,66580,0.3745409478549236,0.8044093259194224,0.8337801608579088,0.4998593277911025,0.7093290441176471,0.821875
coil2000,DecisionTree,0.1230010986328125,,57302,0.1317424468772562,0.9319052307794928,0.9434181818181818,1.1825561845238266,0.6180536112091738,0.9300984051577876
